"stream","hab","period","it","lambda.mean","lambda.se","lambda.lcl","lambda.ucl","ss1.mean","ss1.se","ss1.lcl","ss1.ucl","ss2.mean","ss2.se","ss2.lcl","ss2.ucl","ss3.mean","ss3.se","ss3.lcl","ss3.ucl","rv1.mean","rv1.se","rv1.lcl","rv1.ucl","rv2.mean","rv2.se","rv2.lcl","rv2.ucl","rv3.mean","rv3.se","rv3.lcl","rv3.ucl"
"CA","C",1,10000,1.08925262282771,0.00883295384477205,1.07194003329195,1.10656521236346,0.384644136575547,0.023695035290311,0.338201867406538,0.431086405744557,0.293456709874951,0.0230434406646611,0.248291566172215,0.338621853577686,0.321899153549502,0.0179730526412276,0.286671970372696,0.357126336726308,1,0,1,1,1.75438582144678,0.0858070891359228,1.58620392674037,1.92256771615319,2.60219132067558,0.152658982926529,2.30297971413958,2.90140292721157
"CA","C",2,10000,1.06975215099345,0.0089751068252656,1.05216094161593,1.08734336037097,0.343013568232059,0.0242700323057316,0.295444304912825,0.390582831551293,0.270185937945466,0.024003563212242,0.223138954049471,0.31723292184146,0.386800493822476,0.0218024745903837,0.344067643625324,0.429533344019628,1,0,1,1,1.60554568586174,0.0758412408024643,1.45689685388891,1.75419451783457,2.23577846693559,0.133538718709495,1.97404257826498,2.4975143556062
"CA","C",3,10000,1.09042150467834,0.0176869895493931,1.05575500516153,1.12508800419515,0.362555913057119,0.0275808581899215,0.308497431004873,0.416614395109365,0.303869069762677,0.0284379897998535,0.248130609754964,0.359607529770389,0.333575017180205,0.0241032971718001,0.286332554723476,0.380817479636933,1,0,1,1,1.7654038120854,0.125636100641598,1.51915705482787,2.01165056934294,2.7471429286834,0.212130106013612,2.33136792089673,3.16291793647008
"CA","I",1,10000,1.08443078779432,0.01425510836289,1.05649077540305,1.11237080018558,0.29050226966626,0.0408894517200748,0.210358944294914,0.370645595037607,0.323174638708863,0.0355558989621751,0.253485076743,0.392864200674726,0.386323091624877,0.0295180481473051,0.328467717256158,0.444178465993595,1,0,1,1,1.43471257954143,0.102232565788007,1.23433675059693,1.63508840848592,1.96678303605678,0.15775381087323,1.65758556674525,2.27598050536831
"CA","I",2,10000,1.02922957438209,0.0245096906408605,0.981190580726002,1.07726856803818,0.366349389128242,0.058355906509869,0.251971812368898,0.480726965887585,0.217294353147196,0.043765903456456,0.131513182372542,0.303075523921849,0.416356257724563,0.0475932046417157,0.3230735766268,0.509638938822325,1,0,1,1,2.09874615005025,0.44702008890036,1.22258677580555,2.97490552429496,2.58395968103637,0.46435947509275,1.67381510985458,3.49410425221816
"CA","I",3,10000,1.02582135148659,0.0581984052699811,0.911752477157428,1.13989022581575,0.33686916480691,0.0422007686794305,0.254155658195226,0.419582671418593,0.260844534648542,0.0538235158130113,0.155350443655039,0.366338625642044,0.402286300544549,0.0699204264257018,0.265242264750173,0.539330336338924,1,0,1,1,2.03038010022225,0.395393719475152,1.25540841005095,2.80535179039354,2.62711471506256,0.461505994707571,1.72256296543573,3.5316664646894
"TY","C",1,10000,1.03802814978415,0.0103091358749222,1.01782224346931,1.058234056099,0.45172837833281,0.0260571496996251,0.400656364921545,0.502800391744076,0.332010171565427,0.0298962360492437,0.27341354890891,0.390606794221945,0.216261450101763,0.0187589128287581,0.179493980957397,0.253028919246128,1,0,1,1,2.03386057337955,0.128710100056516,1.78158877726878,2.28613236949032,3.47053440431469,0.291363580307503,2.89946178691198,4.0416070217174
"TY","C",2,10000,1.03703060444803,0.0121598185210047,1.01319736014686,1.0608638487492,0.346401620636586,0.0254868893202261,0.296447317568943,0.396355923704229,0.447207267928815,0.0387003850344147,0.371354513261362,0.523060022596268,0.206391111434599,0.0279925604511118,0.15152569295042,0.261256529918778,1,0,1,1,1.4078853333659,0.0614734632361546,1.28739734542303,1.52837332130876,2.66476518259919,0.290016439401523,2.09633296137221,3.23319740382617
"TY","C",3,10000,1.02004478092487,0.0320887441513547,0.957150842388213,1.08293871946152,0.325065554715534,0.0415284749297659,0.243669743853193,0.406461365577875,0.185128106924744,0.0407350941408198,0.105287322408738,0.264968891440751,0.489806338359721,0.0596075224417882,0.372975594373817,0.606637082345626,1,0,1,1,2.8355602921455,0.66749897091383,1.52726230915439,4.14385827513661,3.68705837726134,0.74681799321173,2.22329511056635,5.15082164395633
"TY","I",1,10000,1.093657130864,0.00995563879552392,1.07414407882477,1.11317018290322,0.335385669005756,0.0229833985257089,0.290338207895367,0.380433130116146,0.487295522455399,0.0318459702093214,0.424877420845129,0.549713624065669,0.177318808538845,0.020431286518983,0.137273486961638,0.217364130116051,1,0,1,1,1.44500509093572,0.0508553390918367,1.34532862631572,1.54468155555572,3.01556507498672,0.218016779955409,2.58825218627412,3.44287796369932
"TY","I",2,10000,1.05395677930018,0.0117525440368238,1.030921792988,1.07699176561235,0.291596767369351,0.0263096445932836,0.240029863966515,0.343163670772187,0.426818308076319,0.0340550280823872,0.36007045303484,0.493566163117798,0.28158492455433,0.0261545964017729,0.230321915606855,0.332847933501804,1,0,1,1,1.33810529020529,0.0546922831659931,1.23090841519994,1.44530216521063,2.24987171927717,0.19586150948406,1.86598316068841,2.63376027786593
"TY","I",3,10000,0.979142795961513,0.0597840074747409,0.861966141311021,1.09631945061201,0.459168760660593,0.106946194735002,0.249554218979989,0.668783302341197,0.287627756342896,0.112349979032995,0.0674217974382256,0.507833715247566,0.253203482996511,0.0895221810968899,0.077740008046607,0.428666957946415,1,0,1,1,3.31273458210074,2.71759006757223,-2.01374195034084,8.63921111454231,4.19009188182111,3.20192819084154,-2.08568737222831,10.4658711358705
