"size","habitat2","prob","SE","df","asymp.LCL","asymp.UCL","stream","streams"
"1","C",0.33506276234629,0.0422620511695257,Inf,0.257852599521244,0.422238749700264,"CA","Caigual"
"2","C",0.0739162169911182,0.0125435493001601,Inf,0.052790719592474,0.10258006717978,"CA","Caigual"
"3","C",0.0207840498732507,0.00468879019558164,Inf,0.0133327358892792,0.0322635345049216,"CA","Caigual"
"1","I",0.411634195287645,0.0540234746941418,Inf,0.31122354581842,0.519983782581671,"CA","Caigual"
"2","I",0.184720981398108,0.032019350526553,Inf,0.129950335254535,0.255789343450575,"CA","Caigual"
"3","I",0.125233052463598,0.023955507431631,Inf,0.0853039406777372,0.180170763229919,"CA","Caigual"
"1","C",0.433165882572425,0.0389642036710937,Inf,0.358937899926058,0.510519710329326,"TY","Taylor"
"2","C",0.241937170435646,0.0289775380711963,Inf,0.189730834390825,0.303134394498661,"TY","Taylor"
"3","C",0.0471561553015606,0.00865460500770952,Inf,0.0328150539641981,0.067328425609096,"TY","Taylor"
"1","I",0.458335481385325,0.0546882902230129,Inf,0.354620187454488,0.565791502671091,"TY","Taylor"
"2","I",0.374164222326542,0.0468873746853167,Inf,0.287646799873531,0.469551251945324,"TY","Taylor"
"3","I",0.232260733219908,0.0369088204523282,Inf,0.16780358016649,0.312189108476588,"TY","Taylor"
